Q5: Which subject domains represent the greatest demand for your data curation services? Check all that apply.,
Response,Count
Physical Sciences,19
Life Sciences,33
Engineering and Applied Sciences,20
Agricultural and Natural Sciences,13
Social Sciences,33
Arts & Humanities,21
Health Sciences,13
Multi-disciplinary,11
Library Science,7
Other ,3
,
Please specify the other subject:,
Environmental Science,
Kellogg Institute for International Studies,
New service with very little demand at the moment,
