Q20: Please indicate if your data curation service requires any of the following documentation from depositors and if your service helps create any of the documentation for depositors. Check all that apply.,,,,,,,,,,,
Response,Count,,,,,,,,,,
Code books - Requires,3,,,,,,,,,,
Code books - Helps create,21,,,,,,,,,,
Metadata - Requires,33,,,,,,,,,,
Metadata - Helps create,32,,,,,,,,,,
Readme files - Requires,17,,,,,,,,,,
Readme files - Helps create,32,,,,,,,,,,
Methodology - Requires,6,,,,,,,,,,
Methodology - Helps create,14,,,,,,,,,,
Scripts or software used to analyze the data - Requires,4,,,,,,,,,,
Scripts or software used to analyze the data - Helps create,13,,,,,,,,,,
Other documentation - Requires,4,,,,,,,,,,
Other documentation - Helps create,12,,,,,,,,,, 
,,,,,,,,,,,
"If you selected Requires Other documentation above, please briefly describe what type of documentation:",,,,,,,,,,,
Rights statements  Gift in Kind Form,,,,,,,,,,,
Other documentation includes licencing or permissions.,,,,,,,,,,,
MODS record,,,,,,,,,,,
our policy states that all data submissions must contain sufficient documentation to enable reuse,,,,,,,,,,,
"We require a data description document that describes the content of the files and descriptions of the data elements, software used, etc. for creating and working with the data.",,,,,,,,,,,
,,,,,,,,,,,
"If you selected Helps create Other documentation above, please briefly describe what type of documentation:",,,,,,,,,,,
We provide templates for batch upload of metadata and technical language to populate readme files. We will also provide assistance with creating rights statements & licensing.,,,,,,,,,,,
MODS record,,,,,,,,,,,
"Depending on how the research wants to model content, there might be additional information to be added to data sets. This is done on a case by case scenario.",,,,,,,,,,,
"By ""help"" we mean will advise with one-on-one consultations, provide examples, do review and provide suggestions. We do not ourselves create documentation for researchers.",,,,,,,,,,,
"Curation plans, data management plans, IRB protocol language",,,,,,,,,,,
Basic and custom metadata; reproducibility documentation (with ReproZip); basic codebook definitions OR consult on standards like DDI. ,,,,,,,,,,,
"Varies greatly depending on the research project and what is necessary to find, understand, and use the data in the future.",,,,,,,,,,,
Data management plans for publicly supported research grants,,,,,,,,,,,
Data dictionary,,,,,,,,,,,
We use readme.txt templates for many of our data curation activities,,,,,,,,,,,
Our deposit interface includes a metadata entry form with suggested elements for depositors to fill out. ,,,,,,,,,,,
It is recommended that scientists and researchers include ReadMe files and steps for reproducibility.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,It is recommended that scientists and researchers include ReadMe files and steps for reproducibility.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
