3,Q40: Please indicate the importance of these data curation access activities on a scale of 1 to 5 where 1=essential; 2=very important; 3=moderately important; 4=less important; 5=not important.,,,,,,,,,,,
2,Count of Level of Supprt,Count of Contact Information,Count of Data Citation,Count of Data Visualization,Count of Discovery Services,Count of Embargo,Count of File download,Count of Full-Text Indexing,Count of Metadata Brokerage,Count of Restricted Access,Count of Terms of Use,Count of Use Analytics
2,1,4,10,0,11,7,16,5,5,8,16,6
1,2,7,11,3,10,10,5,9,12,6,6,12
4,3,4,2,8,2,5,2,5,5,4,1,3
4,4,5,0,8,0,1,0,1,0,3,0,2
4,5,3,0,4,0,0,0,3,1,1,0,0
5,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
2,,,,,,,,,,,,
2,,,,,,,,,,,,
1,,,,,,,,,,,,
4,,,,,,,,,,,,
1,,,,,,,,,,,,
5,,,,,,,,,,,,
5,,,,,,,,,,,,
1,,,,,,,,,,,,
